Unit ID,Location,Governorate,Latitude,Longitude
UNI001,Downtown Cairo,Cairo,30.0444,31.2357
UNI002,Alexandria Corniche,Alexandria,31.2001,29.9187
UNI003,Giza Pyramids Road,Giza,29.9792,31.1342
UNI004,Luxor Temple Area,Luxor,25.6872,32.6396
UNI005,Aswan High Dam,Aswan,24.0889,32.8998
UNI006,Hurghada Marina,Red Sea,27.2579,33.8116
UNI007,Sharm El Sheikh,South Sinai,27.9158,34.3300
UNI008,Mansoura University,Dakahlia,31.0364,31.3801
UNI009,Tanta City Center,Gharbia,30.7865,31.0004
UNI010,Port Said Harbor,Port Said,31.2653,32.3019
