Unit ID,Location,Governorate,Latitude,Longitude
UNI001,Downtown Cairo,Cairo,30.0444,31.2357
UNI002,Alexandria Corniche,Alexandria,31.2001,29.9187
UNI003,Giza Pyramids Road,Giza,29.9792,31.1342
UNI004,Luxor Temple Area,Luxor,25.6872,32.6396
UNI005,Aswan High Dam,Aswan,24.0889,32.8998
UNI006,Hurghada Marina,Red Sea,27.2579,33.8116
UNI007,Sharm El Sheikh,South Sinai,27.9158,34.3300
UNI008,Mansoura University,Dakahlia,31.0364,31.3801
UNI009,Tanta City Center,Gharbia,30.7865,31.0004
UNI010,Port Said Harbor,Port Said,31.2653,32.3019
UNI011,Suez Canal Bridge,Suez,30.0131,32.5498
UNI012,Ismailia Downtown,Ismailia,30.5965,32.2715
UNI013,Zagazig Main Square,Sharqia,30.5877,31.5022
UNI014,Damanhur Central,Beheira,31.0341,30.4682
UNI015,Kafr El Sheikh Market,Kafr El Sheikh,31.1107,30.9388
UNI016,Beni Suef Station,Beni Suef,29.0661,31.0994
UNI017,Minya Corniche,Minya,28.1099,30.7503
UNI018,Asyut University,Asyut,27.1783,31.1859
UNI019,Sohag Downtown,Sohag,26.5569,31.6948
UNI020,Qena Railway Station,Qena,26.1551,32.7160
